case,category,subcategory,electricity,savings
radiant_natvent_29C_tapwater,Interior Equipment,MiscPlug,31.16,0
radiant_natvent_29C_tapwater,Interior Equipment,Personal Fans,1.08,0
radiant_natvent_29C_tapwater,Fans,Ventilation (simple),0.84,0
radiant_natvent_29C_tapwater,Fans,AHU,0,1
radiant_natvent_29C_tapwater,Fans,Toilet_Exhaust_Fan,1.05,0
radiant_natvent_29C_tapwater,Pumps,General,0,1
radiant_natvent_29C_tapwater,Pumps,Radiant,2.93,0.158
radiant_natvent_29C_tapwater,Heat Rejection,General,0,1
radiant_natvent_29C_tapwater,Heat Recovery,General,0,
radiant_natvent_vav_29C,Cooling,General,16.71,0.539
radiant_natvent_vav_29C,Interior Lighting,General_Lights,28.96,0
radiant_natvent_vav_29C,Interior Lighting,Parking_Lights,3.96,0
radiant_natvent_vav_29C,Exterior Lighting,ExteriorLights,2.13,0
radiant_natvent_vav_29C,Interior Equipment,MiscPlug,31.16,0
radiant_natvent_vav_29C,Interior Equipment,Personal Fans,1.08,0
radiant_natvent_vav_29C,Fans,Ventilation (simple),0.84,0
radiant_natvent_vav_29C,Fans,AHU,5.41,0.591
radiant_natvent_vav_29C,Fans,Toilet_Exhaust_Fan,1.05,0
radiant_natvent_vav_29C,Pumps,General,0.34,0.955
radiant_natvent_vav_29C,Pumps,Radiant,2.85,0.181
radiant_natvent_vav_29C,Heat Rejection,General,0.11,0.97
radiant_natvent_vav_29C,Heat Recovery,General,0,
radiant_natvent_vav_29C_tapwater,Cooling,General,2.34,0.935
radiant_natvent_vav_29C_tapwater,Interior Lighting,General_Lights,28.96,0
radiant_natvent_vav_29C_tapwater,Interior Lighting,Parking_Lights,3.96,0
radiant_natvent_vav_29C_tapwater,Exterior Lighting,ExteriorLights,2.13,0
radiant_natvent_vav_29C_tapwater,Interior Equipment,MiscPlug,31.16,0
radiant_natvent_vav_29C_tapwater,Interior Equipment,Personal Fans,1.08,0
radiant_natvent_vav_29C_tapwater,Fans,Ventilation (simple),0.84,0
radiant_natvent_vav_29C_tapwater,Fans,AHU,5.41,0.591
radiant_natvent_vav_29C_tapwater,Fans,Toilet_Exhaust_Fan,1.05,0
radiant_natvent_vav_29C_tapwater,Pumps,General,0.34,0.955
radiant_natvent_vav_29C_tapwater,Pumps,Radiant,2.96,0.149
radiant_natvent_vav_29C_tapwater,Heat Rejection,General,0.11,0.97
radiant_natvent_vav_29C_tapwater,Heat Recovery,General,0,
