case,category,electricity,savings
baseline,Lighting,35.06,0
baseline,HVAC,62.31,0
baseline,Other,45.3,0
baseline,Total,142.67,0
2020s,Lighting,11.33,0.676839703365659
2020s,HVAC,35.19,0.435243139142995
2020s,Other,37.39,0.174613686534216
2020s,Total,83.9,0.411929627812434
2030s,Lighting,11.33,0.676839703365659
2030s,HVAC,30.9,0.504092441020703
2030s,Other,37.39,0.174613686534216
2030s,Total,79.62,0.441928926894231
